capture_id,captured_at_utc,build,policy,subject_code,operation,label,test_case,lighting,accessory,http_status,outcome,error,pad_outcome,pad_live_frames,pad_usable,pad_mean_live,head_ok,head_reason,liveness_live,liveness_score,similarity,match
5,2026-09-19T03:22:23Z,eval-d36fa4946ddf,heuristic,T01,enroll,bona_fide,self,daylight,,200,enrolled,,,,,,true,0.76856,,
6,2026-09-19T03:23:10Z,eval-d36fa4946ddf,heuristic,T01,verify,bona_fide,self,daylight,,200,match,,,,,,true,0.86449,0.94979,true
7,2026-09-19T03:23:30Z,eval-d36fa4946ddf,heuristic,T02,verify,screen_phone,screen_photo,daylight,,200,match,,,,,,true,0.79793,0.95553,true
8,2026-09-19T04:49:08Z,eval-pad-80a3dfa1dfe9,pad-sequence-v1,P01,enroll,bona_fide,self,daylight,glasses,422,rejected,LIVENESS_FAIL,live,12,12,0.961430,false,action_order_or_rotation,false,0.0,,
9,2026-09-19T04:49:30Z,eval-pad-80a3dfa1dfe9,pad-sequence-v1,P01,enroll,bona_fide,self,daylight,glasses,422,rejected,LOW_QUALITY,insufficient_evidence,12,12,0.937119,false,not_frontal_and_still,false,0.0,,
10,2026-09-19T04:49:56Z,eval-pad-80a3dfa1dfe9,pad-sequence-v1,P01,enroll,bona_fide,self,daylight,glasses,422,rejected,LOW_QUALITY,insufficient_evidence,12,12,0.926548,false,action_order_or_rotation,false,0.0,,
11,2026-09-19T04:52:03Z,eval-pad-80a3dfa1dfe9,pad-sequence-v1,P01,enroll,bona_fide,self,daylight,glasses,422,rejected,LIVENESS_FAIL,spoof,8,12,0.590639,false,not_frontal_and_still,false,0.0,,
12,2026-09-19T04:52:28Z,eval-pad-80a3dfa1dfe9,pad-sequence-v1,P01,enroll,bona_fide,self,daylight,glasses,422,rejected,LIVENESS_FAIL,spoof,0,12,0.229340,false,action_order_or_rotation,false,0.0,,
13,2026-09-19T06:41:28Z,eval-pad-0d87e7b9a807,pad-sequence-v2-slow,T072C65047,enroll,bona_fide,self,daylight,glasses,200,enrolled,,live,12,12,0.995104,true,,true,0.84426,,
14,2026-09-19T06:42:31Z,eval-pad-0d87e7b9a807,pad-sequence-v2-slow,T072C65047,verify,bona_fide,self,daylight,glasses,422,rejected,LIVENESS_FAIL,live,12,12,0.995595,false,not_frontal_and_still,false,0.0,,
15,2026-09-19T06:43:15Z,eval-pad-0d87e7b9a807,pad-sequence-v2-slow,T072C65047,verify,bona_fide,self,daylight,glasses,200,match,,live,12,12,0.988999,true,,true,0.82286,0.98256,true
16,2026-09-19T14:32:53Z,eval-pad-0d87e7b9a807,pad-sequence-v2-slow,T074F47994,enroll,bona_fide,self,daylight,glasses,422,rejected,LIVENESS_FAIL,live,12,12,0.994263,false,not_frontal_and_still,false,0.0,,
17,2026-09-19T14:33:40Z,eval-pad-0d87e7b9a807,pad-sequence-v2-slow,T074F47994,enroll,bona_fide,self,daylight,glasses,200,enrolled,,live,12,12,0.991105,true,,true,0.73268,,
18,2026-09-19T14:34:14Z,eval-pad-0d87e7b9a807,pad-sequence-v2-slow,T074F47994,verify,bona_fide,self,daylight,glasses,422,rejected,LIVENESS_FAIL,live,12,12,0.988275,false,not_frontal_and_still,false,0.0,,
19,2026-09-19T14:34:49Z,eval-pad-0d87e7b9a807,pad-sequence-v2-slow,T074F47994,verify,bona_fide,self,daylight,glasses,422,rejected,LIVENESS_FAIL,live,12,12,0.977433,false,not_frontal_and_still,false,0.0,,
20,2026-09-19T14:35:24Z,eval-pad-0d87e7b9a807,pad-sequence-v2-slow,T074F47994,verify,bona_fide,self,daylight,glasses,422,rejected,LIVENESS_FAIL,live,12,12,0.982656,false,opposite_action_in_window,false,0.0,,
21,2026-09-19T14:37:38Z,eval-pad-0d87e7b9a807,pad-sequence-v2-slow,T074F47994,verify,bona_fide,self,daylight,glasses,200,match,,live,12,12,0.900573,true,,true,0.87667,0.89619,true
